uuid,title,slide_url,paper_url
7252e3c7-d12d-4ff2-a6cf-fa95e9668b6b,Partition and Code: learning how to compress graphs,nips.cc/media/neurips-2021/Slides/26867.pdf,openreview.net/pdf?id=qL_juuU4P3Y
0c077978-b862-4e14-b613-fc89019a4c98,Active Offline Policy Selection,nips.cc/media/neurips-2021/Slides/26896.pdf,openreview.net/pdf?id=Zsrn9wXWN0
798e3955-804f-43a2-8c7d-fd26a62c51c3,Large-Scale Wasserstein Gradient Flows,nips.cc/media/neurips-2021/Slides/27486.pdf,openreview.net/pdf?id=nlLjIuHsMHp
92fa17fb-5b8e-4bd9-9110-7f69013a662e,An Efficient Pessimistic-Optimistic Algorithm for Stochastic Linear Bandits with General Constraints,nips.cc/media/neurips-2021/Slides/28796.pdf,openreview.net/pdf?id=luGpyKCzOPI
5ca6789b-7a34-4226-817d-e934f87a7723,Locality defeats the curse of dimensionality in convolutional teacher-student scenarios,nips.cc/media/neurips-2021/Slides/27703.pdf,openreview.net/pdf?id=sBBnfOFtPc
1918a086-55cf-4438-bcf5-eed0f58b0c04,Interpretable agent communication from scratch (with a generic visual processor emerging on the side),nips.cc/media/neurips-2021/Slides/27988.pdf,openreview.net/pdf?id=1AvtkM4H-y7
3bca54e4-1ed8-4f57-883f-503f28746905,Generalized Depthwise-Separable Convolutions for Adversarially Robust and Efficient Neural Networks,nips.cc/media/neurips-2021/Slides/25960.pdf,openreview.net/pdf?id=jNq-i1zd0t9
6838ab3c-7adf-420a-a8d3-b1aaa11eba85,Neural View Synthesis and Matching for Semi-Supervised Few-Shot Learning of 3D Pose,nips.cc/media/neurips-2021/Slides/25924.pdf,openreview.net/pdf?id=JhCcUMFEq7
3fb7bc4b-02cc-46f9-8c5b-907874440d0a,Introspective Distillation for Robust Question Answering,nips.cc/media/neurips-2021/Slides/27192.pdf,openreview.net/pdf?id=OBLl2xoDHPw
7d0592c4-055b-4dd3-be82-0faf1f77880e,EvoGrad: Efficient Gradient-Based Meta-Learning and Hyperparameter Optimization,nips.cc/media/neurips-2021/Slides/26684.pdf,openreview.net/pdf?id=YT_hOa02tqO
e34ed893-f099-4a4c-824a-7ad56b93c924,Exploiting the Intrinsic Neighborhood Structure for Source-free Domain Adaptation,nips.cc/media/neurips-2021/Slides/28283.pdf,openreview.net/pdf?id=yhjpeuWepoj
00f06d1e-90d5-456a-92eb-45c86ddb64d6,Dynamics-regulated kinematic policy for egocentric pose estimation,nips.cc/media/neurips-2021/Slides/26575.pdf,openreview.net/pdf?id=I1GHll1Z7E
e13d8a1a-72eb-4b04-b326-4d95ffde67d6,"A-NeRF: Articulated Neural Radiance Fields for Learning Human Shape, Appearance, and Pose",nips.cc/media/neurips-2021/Slides/26399_YieCC6D.pdf,openreview.net/pdf?id=lwwEh0OM61b
