,titles,slides,papers
85,Poolingformer: Long Document Modeling with Pooling Attention,icml.cc/media/icml-2021/Slides/9603.pdf,proceedings.mlr.press/v139/zhang21h/zhang21h.pdf
86,Data augmentation for deep learning based accelerated MRI reconstruction with limited data,icml.cc/media/icml-2021/Slides/9591.pdf,proceedings.mlr.press/v139/fabian21a/fabian21a.pdf
87,Bayesian Optimization over Hybrid Spaces,icml.cc/media/icml-2021/Slides/9183.pdf,proceedings.mlr.press/v139/deshwal21a/deshwal21a.pdf
88,Representation Matters: Offline Pretraining for Sequential Decision Making,icml.cc/media/icml-2021/Slides/10365.pdf,proceedings.mlr.press/v139/yang21h/yang21h.pdf
89,Characterizing Structural Regularities of Labeled Data in Overparameterized Models,icml.cc/media/icml-2021/Slides/10133.pdf,proceedings.mlr.press/v139/jiang21k/jiang21k.pdf
90,Generating images with sparse representations,icml.cc/media/icml-2021/Slides/8791.pdf,proceedings.mlr.press/v139/nash21a/nash21a.pdf
91,From Poincaré Recurrence to Convergence in Imperfect Information Games: Finding Equilibrium via Regularization,icml.cc/media/icml-2021/Slides/9903_SQBiPqQ.pdf,proceedings.mlr.press/v139/perolat21a/perolat21a.pdf
92,Re-understanding Finite-State Representations of Recurrent Policy Networks,icml.cc/media/icml-2021/Slides/8627.pdf,proceedings.mlr.press/v139/danesh21a/danesh21a.pdf
93,What Does Rotation Prediction Tell Us about Classifier Accuracy under Varying Testing Environments?,icml.cc/media/icml-2021/Slides/8587.pdf,proceedings.mlr.press/v139/deng21a/deng21a.pdf
94,Recomposing the Reinforcement Learning Building Blocks with Hypernetworks,icml.cc/media/icml-2021/Slides/8489.pdf,proceedings.mlr.press/v139/sarafian21a/sarafian21a.pdf
95,A Wasserstein Minimax Framework for Mixed Linear Regression,icml.cc/media/icml-2021/Slides/8949_293AXKB.pdf,proceedings.mlr.press/v139/diamandis21a/diamandis21a.pdf
96,Differentiable Sorting Networks for Scalable Sorting and Ranking Supervision,icml.cc/media/icml-2021/Slides/8439.pdf,proceedings.mlr.press/v139/petersen21a/petersen21a.pdf
97,Actionable Models: Unsupervised Offline Reinforcement Learning of Robotic Skills,icml.cc/media/icml-2021/Slides/9743.pdf,proceedings.mlr.press/v139/chebotar21a/chebotar21a.pdf
98,Reinforcement Learning Under Moral Uncertainty,icml.cc/media/icml-2021/Slides/9589.pdf,proceedings.mlr.press/v139/ecoffet21a/ecoffet21a.pdf
99,CombOptNet: Fit the Right NP-Hard Problem by Learning Integer Programming Constraints,icml.cc/media/icml-2021/Slides/9555.pdf,proceedings.mlr.press/v139/paulus21a/paulus21a.pdf
